load
1396631
1239369
974823
866852
848025
820796
907761
1021858
1060416
1144608
1368263
1783984
2297043
2715306
2731480
2881350
2821269
2725415
2740686
2708103
2506036
2101946
1344942
1225594
1021260
876134
651912
556682
503380
466372
448718
525430
517454
560738
662374
774495
900277
1031882
1115998
1064012
984538
859138
786860
748414
711653
643469
522330
507266
482923
479022
416528
354112
362443
332783
366223
404525
411918
423643
509883
661678
797081
869201
939310
860191
896668
790226
830925
797267
730847
710141
622980
710878
731457
790050
673955
607948
659456
651493
775742
926070
1036212
1109769
1374389
1900993
2830465
3730390
4063176
4075144
3921920
3698129
3498237
3271959
3081571
2585828
1781072
1585949
1449976
1251014
942425
828102
779533
766892
827139
999466
1027640
1151513
1382976
1891899
2860401
3876586
4236497
4281556
3795041
3662663
3485182
3293806
3159509
2625952
1780764
1561361
1381776
1189885
972750
840883
905355
855915
964200
1112917
1142336
1281667
1589824
2062153
2837300
3586612
3760053
3965720
3728705
3677397
3653702
3518544
3403602
2870308
1998886
2141190
1973818
1674698
1426299
1286974
1196719
1165946
1313885
1497647
1512771
1694122
2050635
2616435
3738119
5171418
5571983
5607505
5428267
5170756
4995878
4852746
4353343
3670371
2442195
2475439
2140878
1895147
1579756
1402062
1322785
1165658
1131081
1244647
1313523
1327327
1506570
1799622
2468453
3322579
3490262
3537042
3357287
3054315
2878427
2817847
2560142
2086403
1311481
1131604
835595
706414
564374
501562
460359
407497
524727
513550
498451
471818
568307
736493
880628
980110
1056655
960999
944985
792694
730271
704140
667614
615589
464296
476380
456389
435793
371625
335967
349326
320461
360233
401795
400516
397158
480181
593995
728192
791722
842580
787016
789116
720734
727569
693815
700541
675098
602570
654610
700733
754041
716777
641627
647768
720232
826600
955412
989776
1085038
1248893
1755543
2648495
3460453
3797630
3866752
3578963
3419092
3371077
3133834
2904028
2427113
1536951
1431362
1240912
1152746
1017037
879557
794088
776213
866713
994684
1053025
1082314
1272833
1740110
2559427
3543817
3795470
3786953
3478702
3325876
3290135
3147765
2918741
2411975
1507603
1415209
1207824
1049837
891704
899598
859797
852082
1017008
1110451
1186555
1212441
1413617
1954505
2815706
3879214
4287130
4297613
4004459
3668727
3560500
3427783
3095399
2544989
1552230
1468952
1401150
1246200
1018963
893128
836865
838962
888329
1035122
1092601
1138552
1369574
1856648
2527278
3220888
3388005
3576955
3282861
3294191
3219435
3105795
2722333
2231878
1382403
1330587
